date,open,high,low,close,volume
2015-09-21,28.42,28.84,28.42,28.8,200887860
2015-09-22,28.35,28.55,28.13,28.35,201384636
2015-09-23,28.41,28.68,28.33,28.58,143026864
2015-09-24,28.31,28.88,28.09,28.75,200877900
2015-09-25,29.11,29.17,28.51,28.68,224607704
2015-09-28,28.46,28.64,28.11,28.11,208436044
2015-09-29,28.21,28.38,26.97,27.27,293461536
2015-09-30,27.54,27.89,27.18,27.58,265892132
2015-10-01,27.27,27.41,26.83,27.4,255716400
2015-10-02,27.0,27.75,26.89,27.6,232079032
2015-10-05,27.47,27.84,27.27,27.7,208258972
2015-10-06,27.66,27.94,27.44,27.83,195427908
2015-10-07,27.94,27.94,27.35,27.7,187062200
2015-10-08,27.55,27.55,27.05,27.38,247918308
2015-10-09,27.5,28.07,27.37,28.03,211064560
2015-10-12,28.18,28.19,27.86,27.9,121868816
2015-10-13,27.71,28.11,27.67,27.95,132197024
2015-10-14,27.82,27.88,27.39,27.55,177849796
2015-10-15,27.73,28.03,27.62,27.97,150693808
2015-10-16,27.95,28.0,27.63,27.76,156930436
2015-10-19,27.7,27.94,27.53,27.93,119036612
2015-10-20,27.84,28.54,27.71,28.44,195871052
2015-10-21,28.5,28.9,28.43,28.44,169307896
2015-10-22,28.58,28.88,28.53,28.88,166616356
2015-10-23,29.18,29.81,29.08,29.77,237467656
2015-10-26,29.52,29.53,28.73,28.82,265335124
2015-10-27,28.85,29.14,28.5,28.64,279537600
2015-10-28,29.23,29.83,29.02,29.82,342205408
2015-10-29,29.68,30.17,29.57,30.13,204909336
2015-10-30,30.25,30.31,29.86,29.88,197461016
2015-11-02,29.97,30.34,29.9,30.3,128813068
2015-11-03,30.2,30.87,30.18,30.64,182075904
2015-11-04,30.78,30.96,30.41,30.5,179544200
2015-11-05,30.46,30.67,30.05,30.23,158210720
2015-11-06,30.28,30.45,30.16,30.27,132169132
2015-11-09,30.24,30.45,30.01,30.14,135485620
2015-11-10,29.23,29.52,29.02,29.19,236511724
2015-11-11,29.09,29.36,28.8,29.03,180871884
2015-11-12,29.07,29.21,28.91,28.93,130102316
2015-11-13,28.8,28.89,28.07,28.09,183249612
2015-11-16,27.85,28.56,27.75,28.54,152426804
2015-11-17,28.73,28.76,28.33,28.42,110467756
2015-11-18,28.94,29.37,28.88,29.32,186698788
2015-11-19,29.41,29.94,29.19,29.7,173183280
2015-11-20,29.8,29.98,29.71,29.83,137148384
2015-11-23,29.82,29.93,29.34,29.44,129930112
2015-11-24,29.33,29.84,29.28,29.72,171212688
2015-11-25,29.8,29.81,29.48,29.51,85553232
2015-11-27,29.57,29.6,29.4,29.45,52185780
2015-11-30,29.5,29.85,29.44,29.58,156721288
2015-12-01,29.69,29.7,29.22,29.34,139409496
